K,n,max_support,avg_row_support,s_eff,rate,rep,predictor,loss
100,500,2,1.44,52.05862499999999,0.9912178238741882,16,cesaro,0.19035521158317767
100,500,2,1.44,52.05862499999999,0.9912178238741882,16,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,17,MLE,9.900791298413334e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,17,add-one,1.7833912195575383
100,500,2,1.44,52.05862499999999,0.9912178238741882,17,add-half,1.2636920390275583
100,500,2,1.44,52.05862499999999,0.9912178238741882,17,adaptive,0.05076711705365307
100,500,2,1.44,52.05862499999999,0.9912178238741882,17,cesaro,0.15436306368538186
100,500,2,1.44,52.05862499999999,0.9912178238741882,17,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,18,MLE,9.900591458268882e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,18,add-one,1.5119825762833874
100,500,2,1.44,52.05862499999999,0.9912178238741882,18,add-half,1.0296194171811581
100,500,2,1.44,52.05862499999999,0.9912178238741882,18,adaptive,0.035997342370679614
100,500,2,1.44,52.05862499999999,0.9912178238741882,18,cesaro,0.17436257887710557
100,500,2,1.44,52.05862499999999,0.9912178238741882,18,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,19,MLE,9.90072468503185e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,19,add-one,0.3336110043401807
100,500,2,1.44,52.05862499999999,0.9912178238741882,19,add-half,0.18098465819911308
100,500,2,1.44,52.05862499999999,0.9912178238741882,19,adaptive,0.003967861561385627
100,500,2,1.44,52.05862499999999,0.9912178238741882,19,cesaro,0.024455281593047086
100,500,2,1.44,52.05862499999999,0.9912178238741882,19,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,20,MLE,9.900613662729377e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,20,add-one,1.3017369730918276
100,500,2,1.44,52.05862499999999,0.9912178238741882,20,add-half,0.857035035665062
100,500,2,1.44,52.05862499999999,0.9912178238741882,20,adaptive,0.02712123498344064
100,500,2,1.44,52.05862499999999,0.9912178238741882,20,cesaro,0.1310094467763
100,500,2,1.44,52.05862499999999,0.9912178238741882,20,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,21,MLE,0.10147042209634793
100,500,2,1.44,52.05862499999999,0.9912178238741882,21,add-one,2.0393846752183147
100,500,2,1.44,52.05862499999999,0.9912178238741882,21,add-half,1.5380095758298507
